City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
2,Atar,MR,82.2,overcast clouds,20.5169,-13.0499,Oumou Elghoura
3,Saint-Philippe,RE,74.75,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
5,Gornopravdinsk,RU,21.09,overcast clouds,60.05,69.9,Burovik
6,Cabo San Lucas,MX,74.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
7,Kavieng,PG,82.72,light rain,-2.5744,150.7967,Nusa Island Retreat
8,Yatou,CN,55.92,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
9,Katherine,AU,95.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
10,Katobu,ID,87.71,broken clouds,-4.9408,122.5276,La Ode Husein
11,Mareeba,AU,89.44,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
12,Busselton,AU,74.77,overcast clouds,-33.65,115.3333,Observatory Guest House
13,Biltine,TD,72.91,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
14,Nikolskoye,RU,35.49,overcast clouds,59.7035,30.7861,Tourist House - Sablino
15,Kaitangata,NZ,58.44,moderate rain,-46.2817,169.8464,Kaitangata Motor Camp
16,Ushuaia,AR,33.46,light snow,-54.8,-68.3,Albatros Hotel
17,Castro,BR,54.3,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
18,Auki,SB,83.25,broken clouds,-8.7676,160.7034,Auki Motel
19,Naze,JP,72.52,overcast clouds,28.3667,129.4833,Shishime Hotel
22,Saint-Joseph,RE,73.76,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
23,Ixtapa,MX,78.03,clear sky,20.7,-105.2,Hotel Plaza Providencia
24,Salalah,OM,73.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
25,Bluff,NZ,55.65,moderate rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
26,Ocosingo,MX,60.51,broken clouds,17.0667,-92.25,Chabek lumil
27,Fushe-Arrez,AL,42.67,clear sky,42.0622,20.0167,Hotel Dardania
29,Rawlins,US,34.36,overcast clouds,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
30,Thompson,CA,12.36,light snow,55.7435,-97.8558,Burntwood Hotel
31,Coquimbo,CL,56.93,broken clouds,-29.9533,-71.3436,Punto de encuentro
32,Jamestown,US,42.39,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
34,Eslov,SE,47.64,overcast clouds,55.8393,13.3039,Stensson
35,Carnarvon,AU,69.87,light rain,-24.8667,113.6333,Hospitality Carnarvon
36,Lebu,CL,52.75,few clouds,-37.6167,-73.65,Hostal Las Lilas
37,Tuktoyaktuk,CA,1.08,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
38,Vaini,TO,86.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
40,San Patricio,US,74.01,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
41,Northam,GB,49.6,overcast clouds,51.0333,-4.2167,Durrant House Hotel
42,Hithadhoo,MV,79.38,moderate rain,-0.6,73.0833,Scoop Guest House
43,Tasiilaq,GL,30.36,light snow,65.6145,-37.6368,The Red House
44,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
45,Alyangula,AU,94.87,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
47,Coihaique,CL,53.55,light rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
49,Victoria,HK,78.96,few clouds,22.2855,114.1577,Mini Hotel Central
50,Port Alfred,ZA,63.45,light rain,-33.5906,26.891,The Halyards Hotel
51,Ziniare,BF,71.64,clear sky,12.5822,-1.2983,Privilège Hôtel de Ziniaré
52,Hilo,US,80.33,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
53,Atuona,PF,78.58,clear sky,-9.8,-139.0333,Villa Enata
55,Constantine,DZ,49.41,broken clouds,36.365,6.6147,Grand Hotel Cirta
56,Sorland,NO,36.73,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
57,Meulaboh,ID,75.49,overcast clouds,4.1363,96.1285,Kost Pria
58,Cape Town,ZA,64.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
59,Bredasdorp,ZA,62.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
60,Maniitsoq,GL,32.97,light snow,65.4167,-52.9,Hotel Heilmann Lyberth
61,Hami,CN,28.98,clear sky,42.8,93.45,Laoyutang Resort
63,Rikitea,PF,73.94,few clouds,-23.1203,-134.9692,People ThankYou
64,Punta Arenas,CL,41.11,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
66,Seoul,KR,53.17,haze,37.5683,126.9778,Lotte Hotel Seoul
68,Bethel,US,44.96,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
69,Guerrero Negro,MX,62.83,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
70,Mehamn,NO,27.68,light snow,71.0357,27.8492,Mehamn Arctic Hotel AS
71,Nanortalik,GL,36.75,moderate rain,60.1432,-45.2371,Hotel Kap Farvel
72,Lorengau,PG,86.45,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
73,Mar Del Plata,AR,74.08,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
74,Linguere,SN,81.34,clear sky,15.3953,-15.1193,AYO Casablanca
75,New Norfolk,AU,70.66,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
76,Grindavik,IS,32.47,light snow,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
78,Georgetown,MY,85.89,few clouds,5.4112,100.3354,Cititel Penang
79,Puerto Ayora,EC,69.1,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
80,Carutapera,BR,79.18,few clouds,-1.195,-46.02,Lidera
81,Pangnirtung,CA,6.75,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
82,Cidreira,BR,64.71,clear sky,-30.1811,-50.2056,Hotel Castelo
83,Aklavik,CA,0.43,overcast clouds,68.2191,-135.0107,Aklavik Inn
84,Port Hawkesbury,CA,38.79,overcast clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
85,Kahului,US,85.26,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
86,Kazachinskoye,RU,15.6,light snow,57.6953,93.2761,"Gostinitsa ""Tk Telemaks"""
87,Yar-Sale,RU,8.87,light snow,66.8333,70.8333,Yalemd
89,Arraial Do Cabo,BR,70.63,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
90,Minsk,BY,37.15,overcast clouds,53.9,27.5667,Minsk Hotel
