City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.2078,-159.775,80.65,65,20,12.66,few clouds
1,Albany,US,42.6001,-73.9662,40.8,63,100,4.97,overcast clouds
2,Atar,MR,20.5169,-13.0499,82.2,22,99,3.8,overcast clouds
3,Saint-Philippe,RE,-21.3585,55.7679,74.75,78,34,10.29,scattered clouds
4,Aykhal,RU,66.0,111.5,-20.67,100,100,6.49,overcast clouds
5,Gornopravdinsk,RU,60.05,69.9,21.09,93,100,9.4,overcast clouds
6,Cabo San Lucas,MX,22.8909,-109.9124,74.52,75,1,5.01,clear sky
7,Kavieng,PG,-2.5744,150.7967,82.72,74,93,8.43,light rain
8,Yatou,CN,37.15,122.3833,55.92,73,99,15.28,overcast clouds
9,Katherine,AU,-14.4667,132.2667,95.32,38,75,6.91,broken clouds
10,Katobu,ID,-4.9408,122.5276,87.71,64,60,3.8,broken clouds
11,Mareeba,AU,-17.0,145.4333,89.44,42,0,8.52,clear sky
12,Busselton,AU,-33.65,115.3333,74.77,47,100,10.94,overcast clouds
13,Biltine,TD,14.5333,20.9167,72.91,23,0,16.06,clear sky
14,Nikolskoye,RU,59.7035,30.7861,35.49,91,95,5.55,overcast clouds
15,Kaitangata,NZ,-46.2817,169.8464,58.44,67,100,8.34,moderate rain
16,Ushuaia,AR,-54.8,-68.3,33.46,93,90,24.16,light snow
17,Castro,BR,-24.7911,-50.0119,54.3,98,26,7.54,scattered clouds
18,Auki,SB,-8.7676,160.7034,83.25,74,58,4.27,broken clouds
19,Naze,JP,28.3667,129.4833,72.52,75,94,13.89,overcast clouds
20,Qaanaaq,GL,77.484,-69.3632,-8.68,71,0,6.93,clear sky
21,Leningradskiy,RU,69.3833,178.4167,-12.69,88,5,3.2,clear sky
22,Saint-Joseph,RE,-21.3667,55.6167,73.76,70,18,5.91,few clouds
23,Ixtapa,MX,20.7,-105.2,78.03,78,1,2.3,clear sky
24,Salalah,OM,17.0151,54.0924,73.89,71,5,2.62,clear sky
25,Bluff,NZ,-46.6,168.3333,55.65,86,100,13.89,moderate rain
26,Ocosingo,MX,17.0667,-92.25,60.51,99,63,0.76,broken clouds
